# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Sample"	"Quantity"	"Target"	"Dye"	"Task"	"Reporter"	"Quencher"	"Amp Status"	"Cq"	"Cq Mean"	"Cq Confidence"	"Cq SD"	"Quantity Mean"	"Quantity SD"	"Auto Threshold"	"Threshold"	"Auto Baseline"	"Baseline Start"	"Baseline End"	"Tm1"	"Tm2"	"Tm3"	"Tm4"	"Y-Intercept"	"R2"	"Slope"	"Efficiency"	"Standard Deviation"	"Standard Error"	"Omit"
"15"	"B3"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.585680515206178"	"24.45756170655361"	"0.9380767747088964"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.9597396850586"	""	""	""	""	""	""	""	""	""	"FALSE"
"16"	"B4"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.351646324309804"	"24.45756170655361"	"0.9444070898392729"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"81.09698486328125"	""	""	""	""	""	""	""	""	""	"FALSE"
"17"	"B5"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"16.939424334495406"	"24.45756170655361"	"0.9637813999947392"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"8"	"13"	"80.918701171875"	""	""	""	""	""	""	""	""	""	"FALSE"
"18"	"B6"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"16.932496950994718"	"24.45756170655361"	"0.9622186983202353"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"8"	"12"	"80.918701171875"	""	""	""	""	""	""	""	""	""	"FALSE"
"19"	"B7"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.056963920370237"	"24.45756170655361"	"0.9391417355699194"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9585189819336"	""	""	""	""	""	""	""	""	""	"FALSE"
"20"	"B8"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"24.97899372360196"	"24.45756170655361"	"0.9426147964830662"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"81.09564971923828"	""	""	""	""	""	""	""	""	""	"FALSE"
"21"	"B9"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.19540725673037"	"24.45756170655361"	"0.9428948749815559"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.91810607910156"	""	""	""	""	""	""	""	""	""	"FALSE"
"22"	"B10"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.26826743491953"	"24.45756170655361"	"0.9474428096512972"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.91810607910156"	""	""	""	""	""	""	""	""	""	"FALSE"
"23"	"B11"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"21.971603975439308"	"24.45756170655361"	"0.9366956213958126"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"6"	"17"	"80.9020004272461"	""	""	""	""	""	""	""	""	""	"FALSE"
"24"	"B12"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"22.146943190617094"	"24.45756170655361"	"0.9454135397979749"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"11"	"18"	"80.9020004272461"	""	""	""	""	""	""	""	""	""	"FALSE"
"25"	"C1"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"24.358290244776242"	"24.45756170655361"	"0.9479052643023528"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"20"	"80.94042205810547"	""	""	""	""	""	""	""	""	""	"FALSE"
