# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Cycle Number"	"Target"	"Rn"	"dRn"	"Sample"	"Omit"
"2"	"A2"	"1"	"Target 1"	"0.20284397900104523"	"0.014621664370809292"	"Sample 1"	"FALSE"
"2"	"A2"	"2"	"Target 1"	"0.2072179913520813"	"0.01569648495032673"	"Sample 1"	"FALSE"
"2"	"A2"	"3"	"Target 1"	"0.20986627042293549"	"0.015045572249662312"	"Sample 1"	"FALSE"
"2"	"A2"	"4"	"Target 1"	"0.21090880036354065"	"0.01278891041874887"	"Sample 1"	"FALSE"
"2"	"A2"	"5"	"Target 1"	"0.2125871628522873"	"0.011168081135976879"	"Sample 1"	"FALSE"
"2"	"A2"	"6"	"Target 1"	"0.2154548317193985"	"0.010736558231569479"	"Sample 1"	"FALSE"
"2"	"A2"	"7"	"Target 1"	"0.21783478558063507"	"0.009817320321287418"	"Sample 1"	"FALSE"
"2"	"A2"	"8"	"Target 1"	"0.2181772142648697"	"0.006860557234003431"	"Sample 1"	"FALSE"
"2"	"A2"	"9"	"Target 1"	"0.21995685994625092"	"0.005341011143866051"	"Sample 1"	"FALSE"
"2"	"A2"	"10"	"Target 1"	"0.2228175401687622"	"0.0049024995948587086"	"Sample 1"	"FALSE"
"2"	"A2"	"11"	"Target 1"	"0.22318518161773682"	"0.001970949272314712"	"Sample 1"	"FALSE"
"2"	"A2"	"12"	"Target 1"	"0.22419770061969757"	"-3.1572349724316717E-4"	"Sample 1"	"FALSE"
"2"	"A2"	"13"	"Target 1"	"0.2259407937526703"	"-0.0018718221357890558"	"Sample 1"	"FALSE"
"2"	"A2"	"14"	"Target 1"	"0.2317095845937729"	"5.977769337949385E-4"	"Sample 1"	"FALSE"
"2"	"A2"	"15"	"Target 1"	"0.2336830049753189"	"-7.279944561776469E-4"	"Sample 1"	"FALSE"
"2"	"A2"	"16"	"Target 1"	"0.2364945262670517"	"-0.0012156649359634925"	"Sample 1"	"FALSE"
"2"	"A2"	"17"	"Target 1"	"0.24069039523601532"	"-3.1898773851850304E-4"	"Sample 1"	"FALSE"
"2"	"A2"	"18"	"Target 1"	"0.24619004130363464"	"0.0018814665575822148"	"Sample 1"	"FALSE"
"2"	"A2"	"19"	"Target 1"	"0.25458136200904846"	"0.006973595491477427"	"Sample 1"	"FALSE"
"2"	"A2"	"20"	"Target 1"	"0.2653316259384155"	"0.014424667649325887"	"Sample 1"	"FALSE"
"2"	"A2"	"21"	"Target 1"	"0.2923884689807892"	"0.03818231892018088"	"Sample 1"	"FALSE"
"2"	"A2"	"22"	"Target 1"	"0.3418431878089905"	"0.08433784597686357"	"Sample 1"	"FALSE"
"2"	"A2"	"23"	"Target 1"	"0.4265388250350952"	"0.1657342914314497"	"Sample 1"	"FALSE"
"2"	"A2"	"24"	"Target 1"	"0.5647993087768555"	"0.30069558340169134"	"Sample 1"	"FALSE"
"2"	"A2"	"25"	"Target 1"	"0.7714375257492065"	"0.5040346086025238"	"Sample 1"	"FALSE"
"2"	"A2"	"26"	"Target 1"	"1.035753846168518"	"0.7650517372503167"	"Sample 1"	"FALSE"
"2"	"A2"	"27"	"Target 1"	"1.3217183351516724"	"1.0477170344619524"	"Sample 1"	"FALSE"
"2"	"A2"	"28"	"Target 1"	"1.5789082050323486"	"1.30160771257111"	"Sample 1"	"FALSE"
"2"	"A2"	"29"	"Target 1"	"1.7895262241363525"	"1.5089265399035954"	"Sample 1"	"FALSE"
"2"	"A2"	"30"	"Target 1"	"1.9512975215911865"	"1.6673986455869108"	"Sample 1"	"FALSE"
"2"	"A2"	"31"	"Target 1"	"2.0729854106903076"	"1.7857873429145132"	"Sample 1"	"FALSE"
"2"	"A2"	"32"	"Target 1"	"2.1602509021759033"	"1.8697536426285903"	"Sample 1"	"FALSE"
"2"	"A2"	"33"	"Target 1"	"2.2271697521209717"	"1.9333733008021399"	"Sample 1"	"FALSE"
"2"	"A2"	"34"	"Target 1"	"2.275656223297119"	"1.978560580206769"	"Sample 1"	"FALSE"
"2"	"A2"	"35"	"Target 1"	"2.307915449142456"	"2.0075206142805873"	"Sample 1"	"FALSE"
"2"	"A2"	"36"	"Target 1"	"2.327285051345825"	"2.023591024712438"	"Sample 1"	"FALSE"
"2"	"A2"	"37"	"Target 1"	"2.3411459922790527"	"2.0341527738741467"	"Sample 1"	"FALSE"
"2"	"A2"	"38"	"Target 1"	"2.3515729904174805"	"2.041280580241056"	"Sample 1"	"FALSE"
"2"	"A2"	"39"	"Target 1"	"2.3612024784088135"	"2.0476108764608703"	"Sample 1"	"FALSE"
"2"	"A2"	"40"	"Target 1"	"2.37249755859375"	"2.0556067648742884"	"Sample 1"	"FALSE"
"2"	"A2"	"41"	"Target 1"	"2.377638339996338"	"2.0574483545053575"	"Sample 1"	"FALSE"
"2"	"A2"	"42"	"Target 1"	"2.3831863403320312"	"2.059697163069532"	"Sample 1"	"FALSE"
"2"	"A2"	"43"	"Target 1"	"2.3883824348449707"	"2.061594065810953"	"Sample 1"	"FALSE"
"2"	"A2"	"44"	"Target 1"	"2.3955070972442627"	"2.0654195364387267"	"Sample 1"	"FALSE"
"2"	"A2"	"45"	"Target 1"	"2.3907275199890137"	"2.057340767411959"	"Sample 1"	"FALSE"
"3"	"A3"	"1"	"Target 1"	"0.1934484839439392"	"3.8338285503965175E-4"	"Sample 1"	"FALSE"
"3"	"A3"	"2"	"Target 1"	"0.1985982060432434"	"0.002978011604511374"	"Sample 1"	"FALSE"
"3"	"A3"	"3"	"Target 1"	"0.2005302757024765"	"0.0023549879139119906"	"Sample 1"	"FALSE"
"3"	"A3"	"4"	"Target 1"	"0.20194171369075775"	"0.0012113325523607638"	"Sample 1"	"FALSE"
"3"	"A3"	"5"	"Target 1"	"0.20400162041187286"	"7.161459236433992E-4"	"Sample 1"	"FALSE"
"3"	"A3"	"6"	"Target 1"	"0.20765188336372375"	"0.0018113155256618135"	"Sample 1"	"FALSE"
"3"	"A3"	"7"	"Target 1"	"0.21174153685569763"	"0.0033458756678032137"	"Sample 1"	"FALSE"
"3"	"A3"	"8"	"Target 1"	"0.21150855720043182"	"5.578026627049287E-4"	"Sample 1"	"FALSE"
"3"	"A3"	"9"	"Target 1"	"0.2116483896970749"	"-0.0018574581904844817"	"Sample 1"	"FALSE"
"3"	"A3"	"10"	"Target 1"	"0.21627701818943024"	"2.1607695203838817E-4"	"Sample 1"	"FALSE"
"3"	"A3"	"11"	"Target 1"	"0.2195805013179779"	"9.644667307535798E-4"	"Sample 1"	"FALSE"
"3"	"A3"	"12"	"Target 1"	"0.22127597033977509"	"1.0484240271828316E-4"	"Sample 1"	"FALSE"
"3"	"A3"	"13"	"Target 1"	"0.2255575805902481"	"0.0018313593033588288"	"Sample 1"	"FALSE"
"3"	"A3"	"14"	"Target 1"	"0.2273784577846527"	"0.001097143147930954"	"Sample 1"	"FALSE"
"3"	"A3"	"15"	"Target 1"	"0.22885175049304962"	"1.534250649538882E-5"	"Sample 1"	"FALSE"
"3"	"A3"	"16"	"Target 1"	"0.22986429929733276"	"-0.001527202039053946"	"Sample 1"	"FALSE"
"3"	"A3"	"17"	"Target 1"	"0.23048783838748932"	"-0.0034587562987298676"	"Sample 1"	"FALSE"
"3"	"A3"	"18"	"Target 1"	"0.23560120165348053"	"-9.004863825711334E-4"	"Sample 1"	"FALSE"
"3"	"A3"	"19"	"Target 1"	"0.23921892046928406"	"1.6213908339991756E-4"	"Sample 1"	"FALSE"
