# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Stage Number"	"Step Number"	"Cycle Number"	"X1_M1"	"X2_M2"	"X3_M3"	"X4_M4"	"X5_M5"
"46"	"D10"	"2"	"2"	"1"	"136719.53"	"35850.168"	"51348.96"	"410592.62"	"2598.272"
"47"	"D11"	"2"	"2"	"1"	"105698.29"	"35733.703"	"46952.57"	"398117.0"	"3081.2515"
"48"	"D12"	"2"	"2"	"1"	"146598.4"	"38114.473"	"42306.605"	"387429.06"	"1561.0933"
"49"	"E1"	"2"	"2"	"1"	"99432.46"	"35854.555"	"42532.676"	"398761.88"	"987.076"
"50"	"E2"	"2"	"2"	"1"	"106982.56"	"36401.16"	"49378.516"	"413166.6"	"1040.4249"
"51"	"E3"	"2"	"2"	"1"	"109873.04"	"38276.844"	"58977.023"	"416720.22"	"1793.4032"
"52"	"E4"	"2"	"2"	"1"	"101484.15"	"29333.76"	"53864.56"	"400135.06"	"2833.9854"
"53"	"E5"	"2"	"2"	"1"	"108553.63"	"31427.732"	"57826.4"	"416844.78"	"946.40546"
"54"	"E6"	"2"	"2"	"1"	"110601.11"	"30196.38"	"56797.242"	"402509.97"	"2662.8257"
"55"	"E7"	"2"	"2"	"1"	"109877.11"	"30399.824"	"56566.344"	"399507.62"	"-170.83173"
"56"	"E8"	"2"	"2"	"1"	"142232.36"	"38635.043"	"64714.793"	"438574.25"	"52151.508"
"57"	"E9"	"2"	"2"	"1"	"111095.17"	"31925.537"	"53689.94"	"411932.4"	"798.8724"
"58"	"E10"	"2"	"2"	"1"	"102872.664"	"31268.816"	"47854.8"	"387933.2"	"259.18896"
"59"	"E11"	"2"	"2"	"1"	"112249.31"	"31982.969"	"42983.773"	"366825.5"	"24.609575"
"60"	"E12"	"2"	"2"	"1"	"103363.234"	"35277.63"	"40273.043"	"383737.22"	"-180.07704"
"61"	"F1"	"2"	"2"	"1"	"91754.29"	"33715.15"	"38508.016"	"376560.44"	"703.2565"
"62"	"F2"	"2"	"2"	"1"	"99909.92"	"34251.594"	"46281.77"	"402722.0"	"1270.8627"
"63"	"F3"	"2"	"2"	"1"	"105195.5"	"34910.223"	"53049.316"	"412960.84"	"263.26428"
"64"	"F4"	"2"	"2"	"1"	"116973.93"	"37060.004"	"60067.535"	"441553.94"	"226.64139"
"65"	"F5"	"2"	"2"	"1"	"117677.52"	"35201.324"	"61343.035"	"438051.47"	"931.15076"
"66"	"F6"	"2"	"2"	"1"	"111226.266"	"32730.537"	"59583.07"	"436975.94"	"2075.2593"
"67"	"F7"	"2"	"2"	"1"	"117057.484"	"31552.572"	"58522.918"	"428293.78"	"-1820.1285"
"68"	"F8"	"2"	"2"	"1"	"113849.336"	"34057.14"	"58777.37"	"439618.28"	"1380.6685"
"69"	"F9"	"2"	"2"	"1"	"119960.09"	"33930.86"	"56418.945"	"430883.4"	"-662.36865"
"70"	"F10"	"2"	"2"	"1"	"118944.63"	"33271.75"	"49176.387"	"403269.97"	"-481.21518"
"71"	"F11"	"2"	"2"	"1"	"130376.17"	"36890.285"	"47293.934"	"402131.4"	"909.1442"
"72"	"F12"	"2"	"2"	"1"	"103916.945"	"36250.918"	"40473.973"	"375862.06"	"789.94226"
"73"	"G1"	"2"	"2"	"1"	"91357.914"	"34714.723"	"38831.402"	"381786.5"	"866.1869"
"74"	"G2"	"2"	"2"	"1"	"102070.15"	"34787.656"	"44360.848"	"399599.25"	"421.68604"
"75"	"G3"	"2"	"2"	"1"	"95825.17"	"33154.906"	"46637.473"	"393002.66"	"-1058.9742"
"76"	"G4"	"2"	"2"	"1"	"94419.53"	"32028.932"	"49465.18"	"399057.47"	"1400.1398"
"77"	"G5"	"2"	"2"	"1"	"111456.625"	"35421.973"	"58987.305"	"422080.78"	"-743.5493"
"78"	"G6"	"2"	"2"	"1"	"142693.56"	"33702.22"	"55760.24"	"424783.28"	"2677.324"
"79"	"G7"	"2"	"2"	"1"	"112014.18"	"31886.537"	"53536.582"	"409446.56"	"1535.4355"
"80"	"G8"	"2"	"2"	"1"	"113363.516"	"33692.67"	"53716.645"	"409785.72"	"2033.1354"
"81"	"G9"	"2"	"2"	"1"	"115964.25"	"33734.992"	"51304.94"	"410817.9"	"598.1647"
"82"	"G10"	"2"	"2"	"1"	"95470.234"	"32498.645"	"45998.402"	"385534.53"	"49.0525"
"83"	"G11"	"2"	"2"	"1"	"115646.55"	"35082.87"	"42331.94"	"385239.25"	"-78.44584"
"84"	"G12"	"2"	"2"	"1"	"95962.29"	"37093.35"	"38766.496"	"367024.66"	"729.1187"
"85"	"H1"	"2"	"2"	"1"	"78940.79"	"32626.617"	"33716.96"	"351252.84"	"990.6115"
"86"	"H2"	"2"	"2"	"1"	"87520.9"	"36176.336"	"41843.977"	"382790.53"	"279.48068"
"87"	"H3"	"2"	"2"	"1"	"85617.0"	"32207.81"	"40989.457"	"373396.53"	"-625.43195"
"88"	"H4"	"2"	"2"	"1"	"99377.016"	"33421.953"	"47478.504"	"391729.38"	"2367.842"
"89"	"H5"	"2"	"2"	"1"	"102662.3"	"36093.836"	"45616.22"	"367649.7"	"-201.87326"
"90"	"H6"	"2"	"2"	"1"	"87090.09"	"29025.818"	"46132.016"	"364947.03"	"106.67941"
"91"	"H7"	"2"	"2"	"1"	"105168.94"	"30169.254"	"46273.754"	"364622.8"	"-663.4101"
"92"	"H8"	"2"	"2"	"1"	"116265.95"	"33815.613"	"48891.914"	"396556.0"	"596.61224"
"93"	"H9"	"2"	"2"	"1"	"110450.06"	"32396.928"	"45563.504"	"369531.7"	"-454.20267"
"94"	"H10"	"2"	"2"	"1"	"98367.84"	"34481.043"	"42377.465"	"379819.56"	"99.58879"
"95"	"H11"	"2"	"2"	"1"	"106004.61"	"35741.85"	"38984.605"	"373606.38"	"2198.0251"
"96"	"H12"	"2"	"2"	"1"	"94517.61"	"35561.188"	"34613.492"	"350568.12"	"482.50266"
"1"	"A1"	"2"	"2"	"2"	"82604.06"	"37107.516"	"36199.44"	"382186.0"	"235.34486"
"2"	"A2"	"2"	"2"	"2"	"102297.53"	"37176.816"	"39749.965"	"393456.06"	"-297.2606"
"3"	"A3"	"2"	"2"	"2"	"95242.86"	"33410.523"	"40611.008"	"372640.7"	"-79.705666"
"4"	"A4"	"2"	"2"	"2"	"102472.22"	"33242.023"	"46470.504"	"393356.72"	"-672.09937"
"5"	"A5"	"2"	"2"	"2"	"94775.73"	"31771.031"	"47826.41"	"394133.97"	"-297.70847"
"6"	"A6"	"2"	"2"	"2"	"92794.21"	"30304.338"	"46026.51"	"375342.1"	"-490.6839"
"7"	"A7"	"2"	"2"	"2"	"157520.52"	"37296.5"	"50777.203"	"417154.56"	"3801.369"
"8"	"A8"	"2"	"2"	"2"	"100877.27"	"32206.643"	"47285.543"	"390667.34"	"-1400.6792"
"9"	"A9"	"2"	"2"	"2"	"101336.305"	"33283.207"	"45252.707"	"391879.53"	"-392.27924"
"10"	"A10"	"2"	"2"	"2"	"103067.15"	"34942.938"	"41869.797"	"385300.34"	"1666.0897"
"11"	"A11"	"2"	"2"	"2"	"99477.52"	"33817.758"	"36160.188"	"369420.78"	"-1305.6443"
"12"	"A12"	"2"	"2"	"2"	"115626.516"	"40137.53"	"36996.215"	"389930.28"	"418.78293"
"13"	"B1"	"2"	"2"	"2"	"90347.58"	"37318.73"	"39278.074"	"370308.25"	"1928.0594"
"14"	"B2"	"2"	"2"	"2"	"89326.85"	"33561.918"	"41231.78"	"375046.22"	"896.066"
"15"	"B3"	"2"	"2"	"2"	"97451.85"	"32811.91"	"45252.258"	"372252.94"	"577.4284"
"16"	"B4"	"2"	"2"	"2"	"90757.234"	"31067.945"	"47800.72"	"378983.06"	"441.22952"
"17"	"B5"	"2"	"2"	"2"	"94777.43"	"31559.504"	"50736.8"	"392876.16"	"602.4283"
"18"	"B6"	"2"	"2"	"2"	"93653.336"	"30529.467"	"50495.645"	"392325.78"	"282.52094"
"19"	"B7"	"2"	"2"	"2"	"109670.8"	"31564.8"	"53683.113"	"405856.44"	"1243.3077"
"20"	"B8"	"2"	"2"	"2"	"104475.95"	"33467.297"	"51585.637"	"405012.28"	"721.9764"
"21"	"B9"	"2"	"2"	"2"	"105630.3"	"33514.69"	"49494.09"	"399973.16"	"827.33435"
"22"	"B10"	"2"	"2"	"2"	"116045.09"	"34667.887"	"48369.984"	"414040.16"	"716.58527"
"23"	"B11"	"2"	"2"	"2"	"113104.61"	"38184.17"	"43646.008"	"409631.66"	"2375.8157"
"24"	"B12"	"2"	"2"	"2"	"103456.59"	"36122.098"	"37858.68"	"377034.3"	"1990.417"
"25"	"C1"	"2"	"2"	"2"	"86799.94"	"34100.84"	"37961.215"	"366110.9"	"1043.2529"
"26"	"C2"	"2"	"2"	"2"	"102185.59"	"35512.633"	"44165.066"	"386691.25"	"-170.44897"
"27"	"C3"	"2"	"2"	"2"	"95747.39"	"32455.793"	"47225.57"	"388637.03"	"1271.6206"
"28"	"C4"	"2"	"2"	"2"	"115308.695"	"35851.418"	"56112.0"	"427571.3"	"1073.0638"
"29"	"C5"	"2"	"2"	"2"	"105729.32"	"33345.203"	"56891.14"	"422650.56"	"702.43463"
