# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Omit"	"Sample"	"Target"	"Task"	"Reporter"	"Quencher"	"Amp Status"	"Amp Score"	"Curve Quality"	"Result Quality Issues"	"Cq"	"Cq Confidence"	"Cq Mean"	"Cq SD"	"Auto Threshold"	"Threshold"	"Auto Baseline"	"Baseline Start"	"Baseline End"	"Tm1"	"Tm2"	"Tm3"	"Tm4"	"Tm5"
"16"	"B4"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3599522578423684"	""	""	"25.351646324309804"	"0.9444070898392729"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"81.09698486328125"	""	""	""	""
"17"	"B5"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.36616263486894"	""	""	"16.939424334495406"	"0.9637813999947392"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"8"	"13"	"80.918701171875"	""	""	""	""
"18"	"B6"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3675323841276021"	""	""	"16.932496950994718"	"0.9622186983202353"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"8"	"12"	"80.918701171875"	""	""	""	""
"19"	"B7"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3567482588773199"	""	""	"25.056963920370237"	"0.9391417355699194"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9585189819336"	""	""	""	""
"20"	"B8"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3634728001041598"	""	""	"24.97899372360196"	"0.9426147964830662"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"81.09564971923828"	""	""	""	""
"21"	"B9"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3639210363245136"	""	""	"25.19540725673037"	"0.9428948749815559"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.91810607910156"	""	""	""	""
"22"	"B10"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3556989626676985"	""	""	"25.26826743491953"	"0.9474428096512972"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.91810607910156"	""	""	""	""
"23"	"B11"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.363586832024094"	""	""	"21.971603975439308"	"0.9366956213958126"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"6"	"17"	"80.9020004272461"	""	""	""	""
"24"	"B12"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3494873966068777"	""	""	"22.146943190617094"	"0.9454135397979749"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"11"	"18"	"80.9020004272461"	""	""	""	""
"25"	"C1"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3487541257620976"	""	""	"24.358290244776242"	"0.9479052643023528"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"20"	"80.94042205810547"	""	""	""	""
